=== wgrib2 DRT 3 Inspection Output ===
File: test_data/nam_awip12_drt3.grib2
Date: Thu Jul 23 02:15:14 AM EDT 2026

=== Data Representation Template (DRT) Information ===
81:11521083:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
82:11558063:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
83:11570331:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
84:11575365:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
85:11614315:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
86:11940766:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
87:11946994:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
88:11947213:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
89:11947612:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
90:11953855:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
91:12050253:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
92:12261923:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
93:12426810:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
94:12501508:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
95:12593911:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
96:12681883:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
97:12706110:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
98:12804746:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
99:12873326:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
100:12960434:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
101:13056632:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
102:13140904:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
103:13240700:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
104:13346237:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
105:13442414:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
106:13573610:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
107:13666382:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
108:13732670:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
109:13839555:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
110:13983690:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
111:14065063:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
112:14103698:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
113:14163004:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
114:14295518:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
115:14349136:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
116:14366110:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
117:14486392:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
118:14875588:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
119:15047163:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
120:15068779:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
121:15316034:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
122:15388973:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
123:15450808:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
124:15484163:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
125:15598601:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
126:15641007:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
127:15660318:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
128:15920332:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
129:16126464:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
130:16341640:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
131:16560950:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
132:16789903:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
133:17055086:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
134:17298606:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
135:17471186:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
136:17691570:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
137:17914229:Sec5 len=49 #defined data points=262792 Data Repr. Template=5.3
